0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,relative_runtime
-1.0867696,-0.8626168,1.9315848,0.1984549,-0.49745023,-0.207922,2.0627615,-1.7121187,0.79682535,-0.22543164,1.6766136,-0.38020617,0.46995524,-1.6525652,-1.5370506,-1.1357397,1.0126257,-0.017298605,0.65706486,0.7527099,0.07607293,0.9891303,-1.5514206,-1.9876179,0.1971467,1.4134891,0.29614654,0.531167,-0.20882128,-1.2396616,-0.9121456,-0.34075385,1.2417549,-1.5128546,0.054123193,0.7862492,-1.8014702,-0.79207945,-0.7470958,0.2868072,-0.5823814,0.42490637,-1.6447642,0.7749765,0.4408501,-0.28684005,0.98362,1.4827648,0.8812041,0.13867827,27547548.0,324227260.0,169117380.0,301582720.0,6190292.0,331045.12,271722.66,67241.59,7.5506177,7684227.5,8822292.0,38052.082,470463.1,3949041000.0,0.19891958
-1.0867684,-0.86261433,1.9315856,0.1984584,-0.49744982,-0.20792085,2.0627625,-1.7121153,0.79682595,-0.22542903,1.676617,-0.38020265,0.46995717,-1.6525638,-1.5370468,-1.1363728,1.0126274,-0.017290717,0.65706545,0.7521783,0.07607346,0.98913115,-1.5514178,-1.9876149,0.19714798,1.4134895,0.29615125,0.53117067,-0.20882286,-1.2402005,-0.91213965,-0.34075266,1.2417552,-1.512854,0.054127205,0.7860224,-1.8014691,-0.79207647,-0.74739796,0.28665227,-0.58237725,0.42491058,-1.6447653,0.7749803,0.44085392,-0.28683704,0.9836209,1.4827656,0.88104975,0.13867922,27662362.0,325316480.0,169402050.0,302768540.0,6210353.5,332208.7,272849.8,67458.45,7.577449,7709876.0,8851999.0,38060.543,470984.8,3942637300.0,0.19939375
-1.0867673,-0.8626119,1.9315864,0.19846192,-0.49744943,-0.2079197,2.0627635,-1.712112,0.7968266,-0.22542642,1.6766205,-0.38019913,0.4699591,-1.6525624,-1.5370429,-1.1370018,1.0126289,-0.017282855,0.6570661,0.7516501,0.07607399,0.98913205,-1.5514151,-1.9876119,0.19714925,1.4134898,0.2961559,0.53117436,-0.20882443,-1.240736,-0.91213375,-0.34075144,1.2417556,-1.5128533,0.05413121,0.78579724,-1.8014679,-0.7920735,-0.7476982,0.2864984,-0.5823731,0.42491478,-1.6447663,0.7749842,0.44085774,-0.28683406,0.9836218,1.4827663,0.88089645,0.13868017,27777124.0,326403970.0,169686050.0,303952830.0,6230379.5,333370.3,273976.22,67674.81,7.6042423,7735478.0,8881667.0,38068.96,471504.44,3936277500.0,0.19986483
-1.0867661,-0.86260945,1.9315872,0.1984654,-0.497449,-0.20791857,2.0627644,-1.7121086,0.7968272,-0.22542383,1.676624,-0.38019562,0.46996105,-1.652561,-1.5370389,-1.1376287,1.0126305,-0.017274996,0.6570667,0.75112385,0.07607451,0.9891329,-1.5514123,-1.9876089,0.19715051,1.4134902,0.29616058,0.53117806,-0.20882598,-1.2412696,-0.91212785,-0.34075025,1.2417561,-1.5128525,0.054135207,0.785573,-1.8014668,-0.7920705,-0.7479974,0.28634503,-0.5823689,0.42491898,-1.6447674,0.774988,0.44086155,-0.28683108,0.9836226,1.4827669,0.8807438,0.13868114,27892070.0,327492100.0,169969550.0,305139070.0,6250413.5,334533.1,275104.38,67891.29,7.631049,7761094.0,8911347.0,38077.363,472023.06,3929942000.0,0.20034748
-1.0867649,-0.862607,1.9315879,0.19846891,-0.4974486,-0.20791742,2.0627654,-1.7121052,0.79682785,-0.22542123,1.6766274,-0.38019213,0.469963,-1.6525596,-1.537035,-1.1382533,1.012632,-0.017267143,0.6570673,0.7505996,0.07607504,0.9891338,-1.5514096,-1.987606,0.19715178,1.4134905,0.29616523,0.53118175,-0.20882754,-1.2418011,-0.91212195,-0.34074906,1.2417564,-1.5128518,0.054139204,0.78534967,-1.8014656,-0.7920675,-0.7482956,0.2861922,-0.5823648,0.42492318,-1.6447685,0.7749918,0.4408654,-0.28682807,0.9836235,1.4827676,0.8805917,0.1386821,28007118.0,328580740.0,170252740.0,306326050.0,6270451.5,335696.1,276233.72,68107.87,7.6578813,7786721.0,8941045.0,38085.734,472540.53,3923634000.0,0.2009537
-1.0867637,-0.8626045,1.9315888,0.19847246,-0.4974482,-0.20791626,2.0627666,-1.7121017,0.79682845,-0.2254186,1.676631,-0.38018855,0.46996498,-1.6525582,-1.537031,-1.1388865,1.0126336,-0.01725916,0.6570679,0.7500684,0.07607557,0.98913467,-1.5514069,-1.9876031,0.19715308,1.4134909,0.29616997,0.5311855,-0.2088291,-1.2423398,-0.912116,-0.34074783,1.2417568,-1.5128511,0.05414327,0.7851235,-1.8014644,-0.7920645,-0.74859774,0.28603736,-0.58236057,0.42492744,-1.6447697,0.77499574,0.44086927,-0.28682506,0.9836244,1.4827683,0.8804376,0.13868307,28124274.0,329688350.0,170540530.0,307534980.0,6290841.5,336880.2,277383.56,68328.234,7.6851816,7812804.5,8971254.0,38094.22,473065.84,3917241600.0,0.2015681
-1.0867621,-0.8626012,1.9315898,0.19847712,-0.49744764,-0.20791472,2.0627677,-1.7120973,0.7968293,-0.22541514,1.6766356,-0.38018388,0.4699676,-1.6525563,-1.5370258,-1.1397177,1.0126357,-0.017248647,0.6570687,0.7493708,0.07607628,0.98913586,-1.5514032,-1.9875991,0.19715479,1.4134914,0.29617617,0.5311904,-0.20883119,-1.2430471,-0.91210806,-0.3407462,1.2417574,-1.5128503,0.054148618,0.7848268,-1.8014629,-0.79206055,-0.7489945,0.28583393,-0.582355,0.42493308,-1.6447711,0.7750008,0.4408744,-0.28682107,0.98362553,1.4827691,0.88023543,0.13868435,28278946.0,331149340.0,170919090.0,309130720.0,6317729.0,338441.6,278901.75,68618.75,7.7212114,7847195.5,9011111.0,38105.4,473757.03,3908850700.0,0.2023747
-1.0867604,-0.8625978,1.9315909,0.198482,-0.49744707,-0.20791312,2.0627692,-1.7120925,0.7968302,-0.2254115,1.6766404,-0.38017896,0.46997032,-1.6525544,-1.5370203,-1.1405884,1.0126379,-0.017237602,0.6570696,0.7486405,0.07607701,0.98913705,-1.5513994,-1.987595,0.19715658,1.4134918,0.29618266,0.5311956,-0.20883344,-1.2437876,-0.91209984,-0.34074453,1.241758,-1.5128493,0.05415422,0.7845166,-1.8014613,-0.7920564,-0.74941,0.2856206,-0.5823493,0.42493898,-1.6447726,0.7750062,0.44087976,-0.28681687,0.9836268,1.4827701,0.88002366,0.1386857,28441654.0,332683970.0,171315360.0,310809570.0,6345965.0,340081.53,280498.03,68923.836,7.759101,7883345.0,9052992.0,38117.137,474481.88,3900064000.0,0.20321918
-1.0867587,-0.8625944,1.9315921,0.1984869,-0.4974465,-0.2079115,2.0627706,-1.7120878,0.7968311,-0.22540788,1.6766452,-0.38017404,0.46997306,-1.6525525,-1.5370148,-1.1414537,1.0126401,-0.017226582,0.65707046,0.7479147,0.076077744,0.9891383,-1.5513955,-1.9875909,0.19715837,1.4134923,0.2961891,0.53120077,-0.20883565,-1.2445233,-0.9120916,-0.34074283,1.2417585,-1.5128484,0.054159816,0.7842086,-1.8014597,-0.7920522,-0.74982285,0.28540856,-0.5823436,0.42494485,-1.6447743,0.77501154,0.44088513,-0.2868127,0.98362803,1.4827712,0.87981343,0.13868704,28604478.0,334218200.0,171710660.0,312489570.0,6374193.0,341721.6,282096.2,69228.82,7.7969933,7919488.0,9094864.0,38128.82,475204.06,3891338000.0,0.2040582
-1.0867572,-0.86259097,1.9315932,0.19849175,-0.49744594,-0.20790991,2.0627718,-1.7120831,0.79683197,-0.22540428,1.67665,-0.38016915,0.4699758,-1.6525505,-1.5370094,-1.1423132,1.0126423,-0.017215589,0.6570713,0.74719405,0.07607848,0.9891395,-1.5513916,-1.9875867,0.19716014,1.4134928,0.29619554,0.5312059,-0.20883787,-1.2452542,-0.9120834,-0.34074113,1.2417591,-1.5128473,0.054165397,0.7839029,-1.8014581,-0.79204804,-0.750233,0.28519803,-0.5823379,0.42495072,-1.6447759,0.77501684,0.4408905,-0.28680852,0.9836293,1.4827721,0.87960464,0.1386884,28767300.0,335750560.0,172104420.0,314168600.0,6402379.0,343359.78,283693.7,69533.375,7.834848,7955587.5,9136682.0,38140.438,475922.84,3882675700.0,0.20489138
