0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,target_y
-0.3887977,0.06652131,1.6091793,0.024181543,-0.20251781,0.9067061,-0.13572986,-1.1589652,0.82183653,0.49818373,-1.8393295,-1.2908975,-0.2774804,-1.3607627,-1.602239,-0.2631381,-0.15903285,-0.040157966,0.41635156,1.8501995,0.533573,1.5908304,-1.4063342,-0.5827796,0.4708837,-0.1534395,-1.3685724,0.8221159,0.46727142,1.8167868,-0.03875399,-2.2154686,-1.2577884,-2.38974,1.0102586,1.131204,2.1069927,-0.27473107,-0.53140295,0.95711976,0.8660845,-0.7906744,-0.09701433,0.71804243,-0.6950283,-1.2176107,-0.5137276,-1.4214039,1.3741411,-0.80075043,1.0011916,3728603000.0,2333348400.0,253111890.0,2903075300.0,780367800.0,1020340500.0,288561500.0,33579852.0,15.105486,8315318.5,687256000.0,555.9148,30157.57,12966136000.0,0.68053013
-0.38879535,0.06652281,1.6091808,0.02418363,-0.20251735,0.906707,-0.13572596,-1.1589631,0.82183856,0.498185,-1.8393211,-1.2908946,-0.27747992,-1.3607619,-1.6022383,-0.2631376,-0.15903151,-0.040157013,0.4163531,1.8502004,0.5335741,1.5908306,-1.406331,-0.5827782,0.47088417,-0.15343855,-1.36857,0.82211655,0.46727264,1.8167883,-0.03875208,-2.2154644,-1.2577865,-2.3897388,1.0102599,1.1312054,2.106994,-0.2747291,-0.53140134,0.9571201,0.8660848,-0.790672,-0.097013704,0.7180481,-0.6950257,-1.2176098,-0.513726,-1.4214014,1.3741418,-0.80074733,1.001193,3732512500.0,2337347600.0,253568030.0,2908542500.0,781228300.0,1020549440.0,288929570.0,33619176.0,15.118973,8337586.5,688023800.0,555.9429,30157.576,12978642000.0,0.6807171
-0.38879296,0.06652433,1.6091825,0.024185736,-0.20251688,0.9067079,-0.13572201,-1.1589608,0.82184064,0.49818632,-1.8393129,-1.2908918,-0.2774794,-1.360761,-1.6022376,-0.2631371,-0.15903015,-0.04015605,0.4163547,1.8502015,0.53357524,1.5908307,-1.4063275,-0.5827768,0.47088462,-0.1534376,-1.3685677,0.82211727,0.4672739,1.8167897,-0.038750146,-2.2154598,-1.2577847,-2.3897374,1.0102612,1.1312068,2.106995,-0.2747271,-0.5313997,0.9571205,0.8660852,-0.79066956,-0.09701307,0.7180538,-0.69502306,-1.2176088,-0.5137244,-1.4213988,1.3741425,-0.8007442,1.0011946,3736461300.0,2341389000.0,254029100.0,2914071300.0,782097860.0,1020760400.0,289301250.0,33658940.0,15.132579,8360098.0,688800300.0,555.9713,30157.582,12991277000.0,0.68090636
-0.38879058,0.06652586,1.609184,0.024187861,-0.2025164,0.90670884,-0.13571802,-1.1589584,0.8218428,0.49818766,-1.8393044,-1.2908888,-0.2774789,-1.3607602,-1.6022369,-0.26313663,-0.15902878,-0.040155075,0.41635627,1.8502024,0.53357637,1.5908308,-1.4063241,-0.5827754,0.4708851,-0.15343663,-1.3685653,0.8221179,0.46727514,1.8167913,-0.03874819,-2.2154553,-1.2577828,-2.3897362,1.0102625,1.1312082,2.1069965,-0.27472508,-0.5313981,0.95712084,0.8660855,-0.7906671,-0.09701243,0.71805954,-0.69502044,-1.2176077,-0.5137228,-1.4213963,1.3741434,-0.800741,1.001196,3740446200.0,2345471000.0,254495380.0,2919659000.0,782976200.0,1020972900.0,289677000.0,33699084.0,15.146323,8382870.5,689584060.0,555.99994,30157.59,13004050000.0,0.6810972
-0.38878813,0.06652741,1.6091857,0.024190009,-0.20251593,0.90670973,-0.135714,-1.1589562,0.82184494,0.49818897,-1.839296,-1.2908858,-0.2774784,-1.3607594,-1.6022362,-0.26313615,-0.1590274,-0.040154092,0.41635787,1.8502035,0.5335775,1.5908309,-1.4063207,-0.582774,0.47088557,-0.15343565,-1.3685629,0.8221186,0.46727642,1.8167928,-0.038746223,-2.215451,-1.257781,-2.3897347,1.0102638,1.1312095,2.1069977,-0.27472302,-0.5313965,0.95712125,0.8660859,-0.7906647,-0.09701178,0.7180654,-0.69501776,-1.2176068,-0.5137211,-1.4213935,1.3741441,-0.8007378,1.0011976,3744470500.0,2349600500.0,254966510.0,2925305000.0,783863230.0,1021188350.0,290056100.0,33739612.0,15.160197,8405905.0,690376000.0,556.02893,30157.598,13016935000.0,0.68129027
-0.3887857,0.066528976,1.6091874,0.02419218,-0.20251545,0.9067107,-0.13570993,-1.1589538,0.8218471,0.49819034,-1.8392875,-1.2908828,-0.2774779,-1.3607585,-1.6022354,-0.26313564,-0.159026,-0.040153097,0.4163595,1.8502045,0.5335787,1.590831,-1.4063172,-0.58277255,0.47088605,-0.15343465,-1.3685606,0.8221193,0.4672777,1.8167944,-0.038744226,-2.2154465,-1.2577791,-2.3897336,1.0102651,1.1312109,2.1069992,-0.27472097,-0.53139484,0.9571216,0.86608624,-0.79066217,-0.09701113,0.7180712,-0.695015,-1.2176058,-0.51371944,-1.4213909,1.3741448,-0.8007345,1.0011991,3748538400.0,2353774000.0,255442500.0,2931016200.0,784758660.0,1021404860.0,290439400.0,33780604.0,15.174214,8429211.0,691176000.0,556.05817,30157.605,13029963000.0,0.6814856
-0.38878325,0.066530555,1.609189,0.024194371,-0.20251498,0.9067116,-0.13570583,-1.1589515,0.8218492,0.4981917,-1.8392788,-1.2908798,-0.27747738,-1.3607577,-1.6022347,-0.26313514,-0.15902458,-0.040152095,0.41636112,1.8502055,0.5335798,1.5908312,-1.4063138,-0.5827711,0.47088653,-0.15343365,-1.3685582,0.82212,0.467279,1.816796,-0.038742214,-2.2154417,-1.2577772,-2.3897321,1.0102664,1.1312124,2.1070006,-0.27471888,-0.5313932,0.95712197,0.8660866,-0.79065967,-0.09701046,0.7180772,-0.6950123,-1.2176048,-0.5137177,-1.4213883,1.3741456,-0.8007313,1.0012007,3752640500.0,2357988900.0,255923780.0,2936783400.0,785663740.0,1021623740.0,290826530.0,33821970.0,15.188356,8452801.0,691982800.0,556.0877,30157.611,13043100000.0,0.6816824
-0.38878074,0.06653216,1.6091907,0.024196586,-0.20251448,0.90671253,-0.13570167,-1.1589491,0.82185143,0.4981931,-1.8392701,-1.2908769,-0.27747685,-1.3607568,-1.602234,-0.26313463,-0.15902315,-0.040151082,0.4163628,1.8502065,0.533581,1.5908313,-1.4063102,-0.58276963,0.47088704,-0.15343264,-1.3685557,0.8221207,0.4672803,1.8167975,-0.03874018,-2.2154372,-1.2577753,-2.389731,1.0102679,1.1312138,2.1070018,-0.2747168,-0.53139144,0.9571224,0.86608696,-0.79065716,-0.09700979,0.71808314,-0.6950095,-1.2176038,-0.51371604,-1.4213855,1.3741463,-0.80072796,1.0012022,3756789500.0,2362252800.0,256410480.0,2942619100.0,786577200.0,1021844200.0,291217730.0,33863780.0,15.202662,8476666.0,692799000.0,556.11755,30157.62,13056385000.0,0.6818817
-0.3887782,0.06653377,1.6091924,0.02419882,-0.20251398,0.9067135,-0.1356975,-1.1589466,0.82185364,0.4981945,-1.8392614,-1.2908738,-0.27747634,-1.3607559,-1.6022333,-0.26313412,-0.1590217,-0.040150058,0.41636446,1.8502076,0.5335822,1.5908314,-1.4063066,-0.5827682,0.4708875,-0.15343161,-1.3685533,0.82212144,0.46728164,1.816799,-0.038738128,-2.2154324,-1.2577733,-2.3897295,1.0102692,1.1312152,2.1070032,-0.27471465,-0.5313897,0.95712274,0.8660873,-0.7906546,-0.097009115,0.71808916,-0.6950067,-1.2176027,-0.5137143,-1.4213828,1.374147,-0.8007246,1.0012038,3760977000.0,2366558000.0,256902270.0,2948514300.0,787501060.0,1022066700.0,291612930.0,33905964.0,15.217094,8500792.0,693622700.0,556.14777,30157.627,13069794000.0,0.6820831
-0.38877568,0.0665354,1.609194,0.024201082,-0.20251349,0.9067145,-0.13569327,-1.1589442,0.8218559,0.4981959,-1.8392525,-1.2908707,-0.2774758,-1.3607551,-1.6022326,-0.2631336,-0.15902025,-0.040149022,0.41636616,1.8502086,0.5335834,1.5908315,-1.406303,-0.5827667,0.47088802,-0.15343057,-1.3685508,0.82212216,0.46728295,1.8168006,-0.03873605,-2.2154276,-1.2577714,-2.389728,1.0102706,1.1312168,2.1070046,-0.2747125,-0.531388,0.95712316,0.8660877,-0.790652,-0.09700843,0.7180953,-0.6950039,-1.2176017,-0.5137126,-1.42138,1.3741479,-0.8007213,1.0012054,3765211600.0,2370914000.0,257399660.0,2954479000.0,788433500.0,1022292200.0,292012260.0,33948636.0,15.231679,8525239.0,694455940.0,556.1782,30157.635,13083340000.0,0.6822868
-0.3887731,0.066537045,1.6091958,0.024203366,-0.20251298,0.90671545,-0.13568899,-1.1589417,0.82185817,0.49819732,-1.8392435,-1.2908676,-0.27747527,-1.3607541,-1.6022317,-0.26313308,-0.15901877,-0.040147975,0.41636786,1.8502097,0.53358465,1.5908316,-1.4062994,-0.58276516,0.47088853,-0.15342952,-1.3685483,0.8221229,0.46728432,1.8168023,-0.03873395,-2.2154229,-1.2577693,-2.3897266,1.010272,1.1312182,2.107006,-0.27471033,-0.53138626,0.9571236,0.86608803,-0.79064935,-0.09700774,0.71810144,-0.69500107,-1.2176006,-0.5137108,-1.4213772,1.3741487,-0.80071783,1.001207,3769488400.0,2375322000.0,257902530.0,2960511000.0,789376100.0,1022519100.0,292415870.0,33991760.0,15.2464,8549961.0,695296800.0,556.20905,30157.643,13097028000.0,0.6824927
